frame_id,person_id,keypoint_id,x,y,confidence
0,0,0,708.55945,406.1075,0.6702606
0,0,1,709.30273,401.25998,0.16721642
0,0,2,706.4416,402.73505,0.71183485
0,0,3,693.2502,396.23013,0.14645782
0,0,4,698.37036,402.0136,0.93399066
0,0,5,670.8649,404.9406,0.9757705
0,0,6,695.621,422.35587,0.993435
0,0,7,652.16394,413.47812,0.80664015
0,0,8,696.7216,456.21103,0.970811
0,0,9,656.6262,423.77255,0.7367344
0,0,10,703.7035,476.06497,0.92588246
0,0,11,651.8365,460.0661,0.9940416
0,0,12,672.33875,466.9383,0.9968556
0,0,13,645.741,496.70178,0.9892846
0,0,14,690.1567,499.38635,0.9946379
0,0,15,635.00635,538.56934,0.9755107
0,0,16,695.87805,536.7474,0.9853814
0,1,0,811.23553,558.0027,0.291373
0,1,1,813.14557,556.01746,0.09436293
0,1,2,811.292,555.19464,0.26170462
0,1,3,806.08167,548.22876,0.17946556
0,1,4,807.32733,547.1428,0.63535476
0,1,5,795.4954,541.712,0.95052594
0,1,6,795.94293,541.4368,0.95617396
0,1,7,826.5278,538.05707,0.7825658
0,1,8,809.62286,546.01306,0.83935696
0,1,9,849.2788,539.5475,0.63965714
0,1,10,827.2559,547.2726,0.68608606
0,1,11,759.9018,565.9382,0.9869703
0,1,12,762.0778,566.10754,0.9872584
0,1,13,781.8751,597.57574,0.9761356
0,1,14,792.6439,596.301,0.97871053
0,1,15,772.08307,626.93835,0.95556307
0,1,16,782.59467,621.86475,0.9583363
1,0,0,707.8071,407.73114,0.6976541
1,0,1,708.462,402.92938,0.17796946
1,0,2,705.40576,404.23898,0.7474246
1,0,3,692.27216,398.41418,0.12707333
1,0,4,696.32324,403.76077,0.93710816
1,0,5,669.3148,407.48352,0.9721932
1,0,6,694.3931,423.99435,0.99211055
1,0,7,650.60706,414.22855,0.79347503
1,0,8,695.0765,456.27277,0.96707726
1,0,9,656.7147,422.5483,0.7358596
1,0,10,702.73895,476.29233,0.923542
1,0,11,651.33905,461.48535,0.9928514
1,0,12,672.07355,467.8763,0.99613106
1,0,13,645.6324,498.00006,0.987713
1,0,14,690.41315,499.26318,0.9937143
1,0,15,635.0068,538.71783,0.9730041
1,0,16,696.0822,536.32446,0.9836031
1,1,0,812.85724,557.43835,0.5363799
1,1,1,815.825,555.1731,0.15130468
1,1,2,812.21,553.70276,0.5852448
1,1,3,814.2001,550.91486,0.041726466
1,1,4,806.8796,547.74286,0.66113293
1,1,5,802.5136,548.7179,0.84378564
1,1,6,788.35596,548.8431,0.9420146
1,1,7,806.27637,558.754,0.61892617
1,1,8,787.49677,567.92487,0.9266589
1,1,9,814.7302,564.15137,0.7077921
1,1,10,798.55066,583.5222,0.91158384
1,1,11,765.82184,566.0691,0.962118
1,1,12,754.90015,566.6543,0.9767953
1,1,13,790.2935,594.8345,0.9542529
1,1,14,782.456,596.4746,0.9791119
1,1,15,774.82214,619.9901,0.9209637
1,1,16,771.5731,624.3189,0.9563398
2,0,0,707.0962,409.88205,0.6967413
2,0,1,707.5493,405.01633,0.17252026
2,0,2,705.01917,406.44073,0.7597139
2,0,3,690.34796,399.66617,0.13762045
2,0,4,696.2637,405.44278,0.94924533
2,0,5,667.19336,408.39764,0.9722568
2,0,6,693.2941,426.14124,0.99374986
2,0,7,647.99164,415.61633,0.7482388
2,0,8,693.52295,461.42426,0.96958536
2,0,9,654.27496,422.98254,0.65854245
2,0,10,702.9368,484.3158,0.9146153
2,0,11,648.5509,464.0731,0.99153274
2,0,12,669.87476,470.93213,0.9959347
2,0,13,643.8591,498.90845,0.98339254
2,0,14,689.1521,499.70276,0.9925477
2,0,15,635.5818,539.9912,0.96381843
2,0,16,695.90576,535.5267,0.9801508
2,1,0,811.8298,560.33466,0.46083134
2,1,1,814.0618,557.8987,0.10771469
