person_id,left_wrist_distance,right_wrist_distance,dominant_hand
0,8945.667976888064,10354.760197852527,Right
1,8462.186397157078,9428.627273651691,Right
2,1878.7337801264964,1762.979440626961,Left
3,0.0,0.0,Left
